the,-0.7706171890406223,democrat
to,-6.156624722588133,democrat
a,-10.801644874061727,democrat
for,-10.993246658250158,democrat
in,-11.283807639396516,democrat
of,-12.026791192796916,democrat
on,-14.452977480684536,democrat
and,-14.508194666332583,democrat
,-15.122531979161268,democrat
is,-15.634646513339518,democrat
you,-18.44756672073645,democrat
this,-18.88640960418165,democrat
i,-20.23388964218166,democrat
my,-21.15800249056867,democrat
with,-21.49304344293158,democrat
are,-21.83071631601425,democrat
your,-22.102749597398617,democrat
that,-22.23939789906354,democrat
at,-22.51395782433888,democrat
we,-22.65186944794929,democrat
it,-22.790202178874864,democrat
new,-23.55855949222404,democrat
#p2,-23.98303259959191,democrat
our,-23.98303259959191,democrat
about,-24.19669039046451,democrat
have,-24.19669039046451,democrat
thanks,-24.33965530185687,democrat
be,-24.483041320564386,democrat
just,-24.55489224516133,democrat
being,-24.55489224516133,democrat
from,-24.626848446587065,democrat
has,-24.91572602057791,democrat
community,-25.060796468546076,democrat
top,-25.133489607773342,democrat
us,-25.2062880238294,democrat
but,-25.2062880238294,democrat
week,-25.2062880238294,democrat
vote,-25.27919171671425,democrat
like,-25.27919171671425,democrat
more,-25.27919171671425,democrat
help,-25.352200686427892,democrat
if,-25.352200686427892,democrat
#uniteblue,-25.352200686427892,democrat
his,-25.425314932970323,democrat
followers,-25.425314932970323,democrat
so,-25.425314932970323,democrat
they,-25.49853445634154,democrat
by,-25.49853445634154,democrat
out,-25.571859256541554,democrat
not,-25.571859256541554,democrat
all,-25.718824687427947,democrat
what,-25.866211225629506,democrat
an,-25.866211225629506,democrat
people,-25.940062409973468,democrat
he,-26.014018871146224,democrat
today,-26.014018871146224,democrat
will,-26.236519915637228,democrat
need,-26.236519915637228,democrat
go,-26.236519915637228,democrat
#fb,-26.236519915637228,democrat
how,-26.310897484125146,democrat
here,-26.310897484125146,democrat
now,-26.310897484125146,democrat
up,-26.38538032944185,democrat
via,-26.45996845158735,democrat
time,-26.534661850561637,democrat
#gapol,-26.684364478996585,democrat
was,-26.684364478996585,democrat
get,-26.684364478996585,democrat
one,-26.684364478996585,democrat
who,-26.759373708457243,democrat
because,-27.060463394587785,democrat
it's,-27.060463394587785,democrat
why,-27.135999008192396,democrat
hold,-27.2116398986258,democrat
can,-27.2116398986258,democrat
should,-27.2116398986258,democrat
#maggies,-27.287386065887993,democrat
no,-27.287386065887993,democrat
as,-27.287386065887993,democrat
#truth,-27.287386065887993,democrat
when,-27.287386065887993,democrat
day,-27.363237509978976,democrat
game,-27.363237509978976,democrat
way,-27.363237509978976,democrat
democrats,-27.363237509978976,democrat
gop,-27.363237509978976,democrat
do,-27.363237509978976,democrat
politicians,-27.363237509978976,democrat
too,-27.43919423089875,democrat
me,-27.43919423089875,democrat
president,-27.43919423089875,democrat
senate,-27.43919423089875,democrat
over,-27.515256228647313,democrat
great,-27.515256228647313,democrat
arkansas,-27.515256228647313,democrat
support,-27.515256228647313,democrat
accountable,-27.515256228647313,democrat
them,-27.515256228647313,democrat
i'm,-27.515256228647313,democrat
show,-27.591423503224668,democrat
state,-27.591423503224668,democrat
say,-27.591423503224668,democrat
#women,-27.591423503224668,democrat
health,-27.591423503224668,democrat
donations,-27.591423503224668,democrat
#dems,-27.591423503224668,democrat
don't,-27.667696054630813,democrat
house,-27.667696054630813,democrat
really,-27.667696054630813,democrat
their,-27.667696054630813,democrat
would,-27.667696054630813,democrat
than,-27.74407388286575,democrat
work,-27.74407388286575,democrat
4,-27.74407388286575,democrat
texas,-27.74407388286575,democrat
there,-27.74407388286575,democrat
still,-27.74407388286575,democrat
tonight,-27.74407388286575,democrat
alabama,-27.820556987929475,democrat
#nspoli,-27.820556987929475,democrat
take,-27.820556987929475,democrat
long,-27.820556987929475,democrat
story,-27.820556987929475,democrat
nov,-27.820556987929475,democrat
know,-27.897145369821992,democrat
first,-27.897145369821992,democrat
right,-27.897145369821992,democrat
or,-27.897145369821992,democrat
change,-27.897145369821992,democrat
see,-27.897145369821992,democrat
you're,-27.897145369821992,democrat
learn,-27.897145369821992,democrat
#wtf,-27.9738390285433,democrat
good,-27.9738390285433,democrat
make,-27.9738390285433,democrat
website,-27.9738390285433,democrat
care,-27.9738390285433,democrat
obama,-27.9738390285433,democrat
visit,-27.9738390285433,democrat
voting,-28.050637964093397,democrat
#raisethewage,-28.050637964093397,democrat
read,-28.050637964093397,democrat
#winning,-28.050637964093397,democrat
#fail,-28.050637964093397,democrat
down,-28.050637964093397,democrat
#win,-28.050637964093397,democrat
year,-28.050637964093397,democrat
want,-28.050637964093397,democrat
republicans,-28.127542176472286,democrat
where,-28.127542176472286,democrat
going,-28.127542176472286,democrat
doing,-28.127542176472286,democrat
think,-28.127542176472286,democrat
every,-28.127542176472286,democrat
voters,-28.127542176472286,democrat
ed,-28.127542176472286,democrat
party,-28.127542176472286,democrat
america,-28.127542176472286,democrat
far,-28.204551665679965,democrat
did,-28.204551665679965,democrat
says,-28.204551665679965,democrat
check,-28.204551665679965,democrat
district,-28.204551665679965,democrat
lot,-28.204551665679965,democrat
these,-28.204551665679965,democrat
hey,-28.204551665679965,democrat
many,-28.204551665679965,democrat
big,-28.204551665679965,democrat
got,-28.204551665679965,democrat
#lgbt,-28.204551665679965,democrat
#obamacare,-28.204551665679965,democrat
am,-28.204551665679965,democrat
even,-28.204551665679965,democrat
sure,-28.204551665679965,democrat
join,-28.204551665679965,democrat
tomorrow,-28.204551665679965,democrat
climate,-28.204551665679965,democrat
had,-28.204551665679965,democrat
debate,-28.281666431716435,democrat
